Rang,Pseudo,Score,Mode,Genre,Date,Titres corrects,Artistes corrects,Total morceaux,Indices utilisés,Taux réussite (%)
1,bob,4,,,2025-12-03 15:28:56,0,0,0,0,0,00
2,Joueur 1,4,,,2025-12-03 14:27:49,0,0,0,0,0,00
3,Leo,3,,,2025-12-03 15:17:28,0,0,0,0,0,00
4,bob,2,,,2025-12-03 15:23:01,0,0,0,0,0,00
5,bob,0,,,2025-12-03 15:30:31,0,0,0,0,0,00
6,leo,0,,,2025-12-03 15:30:31,0,0,0,0,0,00
7,Joueur 1,0,,,2025-12-03 14:45:42,0,0,0,0,0,00
8,Joueur 1,0,,,2025-12-03 14:44:39,0,0,0,0,0,00
9,Joueur,0,,,2025-11-28 16:50:09,0,0,0,0,0,00
